Características selecionadas;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
18 a 24 anos;  11 543 ;  8 844 ;  7 344 ;  3 793 ;  1 500 ;746;  2 766 ;76,6;63,6;51,7;17;28,8
25 a 29 anos;  8 537 ;  7 722 ;  7 071 ;  4 202 ;651;239;  1 270 ;90,5;82,8;59,4;8,4;16
30 a 49 anos;  31 571 ;  28 693 ;  27 148 ;  17 360 ;  1 545 ;763;  3 592 ;90,9;86;63,9;5,4;12,2
50 a 59 anos;  11 644 ;  9 152 ;  8 700 ;  5 309 ;452;358;  1 222 ;78,6;74,7;61;4,9;12,8
60 anos ou mais;  14 273 ;  4 555 ;  4 360 ;  2 031 ;195;303;683;31,9;30,5;46,6;4,3;14
Total Mulheres;  89 527 ;  47 013 ;  41 468 ;  24 492 ;  5 544 ;  4 614 ;  13 386 ;52,5;46,3;59,1;11,8;25,9
14 a 29 anos;  25 655 ;  13 955 ;  11 055 ;  6 085 ;  2 900 ;  1 978 ;  5 846 ;54,4;43,1;55;20,8;36,7
14 a 17 anos;  5 936 ;876;517;107;359;511;937;14,8;8,7;20,6;41;67,6
18 a 24 anos;  11 217 ;  7 036 ;  5 318 ;  2 806 ;  1 719 ;906;  3 141 ;62,7;47,4;52,8;24,4;39,5
25 a 29 anos;  8 502 ;  6 043 ;  5 221 ;  3 172 ;822;561;  1 768 ;71,1;61,4;60,8;13,6;26,8
30 a 49 anos;  32 920 ;  23 588 ;  21 485 ;  13 561 ;  2 103 ;  1 784 ;  5 532 ;71,7;65,3;63,1;8,9;21,8
50 a 59 anos;  12 834 ;  6 893 ;  6 445 ;  3 811 ;448;528;  1 446 ;53,7;50,2;59,1;6,5;19,5
60 anos ou mais;  18 118 ;  2 577 ;  2 483 ;  1 035 ;94;324;563;14,2;13,7;41,7;3,6;19,4
Total Branca;  75 183 ;  46 939 ;  43 356 ;  28 695 ;  3 583 ;  2 300 ;  7 959 ;62,4;57,7;66,2;7,6;16,2
14 a 29 anos;  20 318 ;  12 717 ;  10 885 ;  6 647 ;  1 832 ;  1 049 ;  3 508 ;62,6;53,6;61,1;14,4;25,5
14 a 17 anos;  4 660 ;787;521;131;265;330;649;16,9;11,2;25,1;33,7;58,1
18 a 24 anos;  8 945 ;  6 323 ;  5 214 ;  3 056 ;  1 108 ;488;  1 928 ;70,7;58,3;58,6;17,5;28,3
25 a 29 anos;  6 713 ;  5 608 ;  5 150 ;  3 460 ;458;231;932;83,5;76,7;67,2;8,2;16
30 a 49 anos;  27 285 ;  23 000 ;  21 680 ;  15 472 ;  1 319 ;687;  2 972 ;84,3;79,5;71,4;5,7;12,5
50 a 59 anos;  11 109 ;  7 550 ;  7 232 ;  4 839 ;318;295;955;68;65,1;66,9;4,2;12,2
60 anos ou mais;  16 472 ;  3 673 ;  3 559 ;  1 737 ;114;269;524;22,3;21,6;48,8;3,1;13,3
Total Preta ou parda;  96 233 ;  59 182 ;  52 595 ;  28 019 ;  6 588 ;  5 248 ;  15 824 ;61,5;54,7;53,3;11,1;24,6
14 a 29 anos;  31 112 ;  18 793 ;  15 232 ;  7 448 ;  3 562 ;  2 476 ;  7 372 ;60,4;49;48,9;19;34,7
14 a 17 anos;  7 356 ;  1 355 ;876;112;479;761;  1 362 ;18,4;11,9;12,8;35,3;64,4
18 a 24 anos;  13 590 ;  9 406 ;  7 324 ;  3 475 ;  2 082 ;  1 152 ;  3 931 ;69,2;53,9;47,4;22,1;37,2
25 a 29 anos;  10 165 ;  8 032 ;  7 032 ;  3 861 ;  1 001 ;564;  2 079 ;79;69,2;54,9;12,5;24,2
30 a 49 anos;  36 525 ;  28 722 ;  26 433 ;  15 111 ;  2 288 ;  1 836 ;  6 064 ;78,6;72,4;57,2;8;19,8
50 a 59 anos;  13 095 ;  8 313 ;  7 747 ;  4 182 ;566;587;  1 683 ;63,5;59,2;54;6,8;18,9
60 anos ou mais;  15 500 ;  3 355 ;  3 182 ;  1 278 ;172;349;705;21,6;20,5;40,2;5,1;19
Total Nível de instrução;  173 286 ;  107 257 ;  96 982 ;  57 326 ;  10 275 ;  7 607 ;  24 001 ;61,9;56;59,1;9,6;20,9
Sem instrução ou fundamental incompleto;  53 675 ;  22 108 ;  19 950 ;  7 421 ;  2 158 ;  2 660 ;  6 631 ;41,2;37,2;37,2;9,8;26,8
Ensino fundamental completo ou médio incompleto;  29 391 ;  16 131 ;  14 003 ;  6 663 ;  2 128 ;  1 865 ;  5 077 ;54,9;47,6;47,6;13,2;28,2
Ensino médio completo ou superior incompleto;  62 143 ;  46 047 ;  41 111 ;  26 319 ;  4 936 ;  2 612 ;  9 899 ;74,1;66,2;64;10,7;20,3
Ensino superior completo;  28 078 ;  22 971 ;  21 919 ;  16 923 ;  1 052 ;469;  2 394 ;81,8;78,1;77,2;4,6;10,2
Total Homens;  83 760 ;  60 244 ;  55 514 ;  32 834 ;  4 730 ;  2 993 ;  10 615 ;71,9;66,3;59,1;7,9;16,8
Sem instrução ou fundamental incompleto;  27 278 ;  14 990 ;  13 758 ;  5 361 ;  1 232 ;  1 248 ;  3 546 ;55;50,4;39;8,2;21,8
Ensino fundamental completo ou médio incompleto;  14 998 ;  10 075 ;  9 019 ;  4 516 ;  1 057 ;783;  2 379 ;67,2;60,1;50,1;10,5;21,9
Ensino médio completo ou superior incompleto;  29 807 ;  24 968 ;  22 910 ;  15 299 ;  2 058 ;843;  3 877 ;83,8;76,9;66,8;8,2;15
Ensino superior completo;  11 677 ;  10 210 ;  9 827 ;  7 658 ;383;118;812;87,4;84,2;77,9;3,8;7,9
Total Mulheres;  89 527 ;  47 013 ;  41 468 ;  24 492 ;  5 544 ;  4 614 ;  13 386 ;52,5;46,3;59,1;11,8;25,9
Sem instrução ou fundamental incompleto;  26 397 ;  7 118 ;  6 191 ;  2 061 ;926;  1 412 ;  3 085 ;27;23,5;33,3;13;36,2
Ensino fundamental completo ou médio incompleto;  14 393 ;  6 056 ;  4 984 ;  2 147 ;  1 071 ;  1 082 ;  2 698 ;42,1;34,6;43,1;17,7;37,8
Ensino médio completo ou superior incompleto;  32 335 ;  21 079 ;  18 201 ;  11 020 ;  2 878 ;  1 769 ;  6 022 ;65,2;56,3;60,5;13,7;26,4
Ensino superior completo;  16 401 ;  12 760 ;  12 092 ;  9 265 ;668;351;  1 581 ;77,8;73,7;76,6;5,2;12,1
Total Branca;  75 183 ;  46 939 ;  43 356 ;  28 695 ;  3 583 ;  2 300 ;  7 959 ;62,4;57,7;66,2;7,6;16,2
Sem instrução ou fundamental incompleto;  19 092 ;  7 184 ;  6 615 ;  2 995 ;569;595;  1 611 ;37,6;34,6;45,3;7,9;20,7
Ensino fundamental completo ou médio incompleto;  11 310 ;  5 845 ;  5 198 ;  2 804 ;647;549;  1 511 ;51,7;46;54;11,1;23,6
Ensino médio completo ou superior incompleto;  27 235 ;  19 781 ;  18 008 ;  12 251 ;  1 773 ;900;  3 498 ;72,6;66,1;68;9;16,9
Ensino superior completo;  17 546 ;  14 129 ;  13 536 ;  10 645 ;593;256;  1 339 ;80,5;77,1;78,6;4,2;9,3
Total Preta ou parda;  96 233 ;  59 182 ;  52 595 ;  28 019 ;  6 588 ;  5 248 ;  15 824 ;61,5;54,7;53,3;11,1;24,6
Sem instrução ou fundamental incompleto;  34 074 ;  14 729 ;  13 169 ;  4 375 ;  1 559 ;  2 050 ;  4 962 ;43,2;38,6;33,2;10,6;29,6
Ensino fundamental completo ou médio incompleto;  17 821 ;  10 148 ;  8 687 ;  3 802 ;  1 461 ;  1 305 ;  3 530 ;56,9;48,7;43,8;14,4;30,8
Ensino médio completo ou superior incompleto;  34 244 ;  25 800 ;  22 682 ;  13 817 ;  3 119 ;  1 688 ;  6 304 ;75,3;66,2;60,9;12,1;22,9
Ensino superior completo;  10 093 ;  8 506 ;  8 057 ;  6 025 ;449;206;  1 029 ;84,3;79,8;74,8;5,3;11,8
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2022 (acumulado de quintas visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
