Características selecionadas;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
14 a 29 anos;  26 421 ;  14 736 ;  10 987 ;  6 007 ;  3 749 ;  2 315 ;  7 343 ;55,8;41,6;54,7;25,4;43,1
14 a 17 anos;  6 080 ;  1 070 ;553;113;517;630;  1 267 ;17,6;9,1;20,5;48,4;74,5
18 a 24 anos;  11 848 ;  7 460 ;  5 273 ;  2 742 ;  2 188 ;  1 138 ;  3 958 ;63;44,5;52;29,3;46
25 a 29 anos;  8 493 ;  6 206 ;  5 162 ;  3 152 ;  1 044 ;547;  2 118 ;73,1;60,8;61,1;16,8;31,4
30 a 49 anos;  32 038 ;  23 522 ;  20 966 ;  13 069 ;  2 556 ;  1 796 ;  6 247 ;73,4;65,4;62,3;10,9;24,7
50 a 59 anos;  12 287 ;  6 784 ;  6 299 ;  3 667 ;485;521;  1 489 ;55,2;51,3;58,2;7,1;20,4
60 anos ou mais;  16 207 ;  2 445 ;  2 357 ;918;87;351;606;15,1;14,5;38,9;3,6;21,7
Total Branca;  71 611 ;  46 413 ;  42 079 ;  27 655 ;  4 333 ;  2 366 ;  9 013 ;64,8;58,8;65,7;9,3;18,5
14 a 29 anos;  20 594 ;  13 392 ;  10 973 ;  6 690 ;  2 419 ;  1 103 ;  4 350 ;65;53,3;61;18,1;30
14 a 17 anos;  4 613 ;901;521;112;380;379;838;19,5;11,3;21,4;42,2;65,5
18 a 24 anos;  9 126 ;  6 632 ;  5 258 ;  3 072 ;  1 373 ;512;  2 337 ;72,7;57,6;58,4;20,7;32,7
25 a 29 anos;  6 855 ;  5 860 ;  5 194 ;  3 507 ;665;212;  1 175 ;85,5;75,8;67,5;11,4;19,3
30 a 49 anos;  25 833 ;  22 061 ;  20 662 ;  14 640 ;  1 400 ;698;  3 113 ;85,4;80;70,9;6,3;13,7
50 a 59 anos;  10 763 ;  7 454 ;  7 053 ;  4 714 ;401;297;  1 010 ;69,3;65,5;66,8;5,4;13
60 anos ou mais;  14 421 ;  3 506 ;  3 392 ;  1 610 ;114;268;540;24,3;23,5;47,5;3,3;14,3
Total Preta ou parda;  94 891 ;  60 081 ;  51 803 ;  27 371 ;  8 278 ;  5 825 ;  18 934 ;63,3;54,6;52,8;13,8;28,7
14 a 29 anos;  32 252 ;  19 751 ;  15 128 ;  7 457 ;  4 623 ;  2 957 ;  9 298 ;61,2;46,9;49,3;23,4;40,9
14 a 17 anos;  7 709 ;  1 636 ;961;149;675;898;  1 770 ;21,2;12,5;15,5;41,3;69,8
18 a 24 anos;  14 603 ;  10 191 ;  7 492 ;  3 558 ;  2 699 ;  1 434 ;  5 002 ;69,8;51,3;47,5;26,5;43
25 a 29 anos;  9 940 ;  7 924 ;  6 675 ;  3 750 ;  1 249 ;625;  2 526 ;79,7;67,2;56,2;15,8;29,5
30 a 49 anos;  36 071 ;  28 929 ;  26 054 ;  14 805 ;  2 875 ;  1 890 ;  7 080 ;80,2;72,2;56,8;9,9;23
50 a 59 anos;  12 394 ;  8 049 ;  7 448 ;  3 926 ;601;572;  1 761 ;64,9;60,1;52,7;7,5;20,4
60 anos ou mais;  14 175 ;  3 352 ;  3 173 ;  1 183 ;179;407;794;23,6;22,4;37,3;5,3;21,1
Total Nível de instrução;  168 365 ;  107 669 ;  94 956 ;  55 639 ;  12 713 ;  8 280 ;  28 234 ;63,9;56,4;58,6;11,8;24,4
Sem instrução ou fundamental incompleto;  57 111 ;  25 965 ;  23 104 ;  8 708 ;  2 861 ;  3 378 ;  8 736 ;45,5;40,5;37,7;11;29,8
Ensino fundamental completo ou médio incompleto;  29 262 ;  17 237 ;  14 356 ;  7 010 ;  2 881 ;  1 990 ;  6 185 ;58,9;49,1;48,8;16,7;32,2
Ensino médio completo ou superior incompleto;  57 783 ;  44 146 ;  38 387 ;  24 954 ;  5 759 ;  2 503 ;  10 743 ;76,4;66,4;65;13;23
Ensino superior completo;  24 209 ;  20 322 ;  19 109 ;  14 967 ;  1 213 ;410;  2 570 ;83,9;78,9;78,3;6;12,4
Total Homens;  81 412 ;  60 183 ;  54 347 ;  31 978 ;  5 836 ;  3 297 ;  12 549 ;73,9;66,8;58,8;9,7;19,8
Sem instrução ou fundamental incompleto;  29 105 ;  17 257 ;  15 603 ;  6 204 ;  1 654 ;  1 600 ;  4 698 ;59,3;53,6;39,8;9,6;24,9
Ensino fundamental completo ou médio incompleto;  14 827 ;  10 459 ;  9 047 ;  4 655 ;  1 413 ;763;  2 853 ;70,5;61;51,5;13,5;25,4
Ensino médio completo ou superior incompleto;  27 393 ;  23 485 ;  21 129 ;  14 382 ;  2 356 ;800;  4 130 ;85,7;77,1;68,1;10;17
Ensino superior completo;  10 087 ;  8 981 ;  8 568 ;  6 737 ;413;135;868;89;84,9;78,6;4,6;9,5
Total Mulheres;  86 953 ;  47 486 ;  40 610 ;  23 661 ;  6 877 ;  4 983 ;  15 685 ;54,6;46,7;58,3;14,5;29,9
Sem instrução ou fundamental incompleto;  28 006 ;  8 707 ;  7 501 ;  2 504 ;  1 206 ;  1 778 ;  4 038 ;31,1;26,8;33,4;13,9;38,5
Ensino fundamental completo ou médio incompleto;  14 435 ;  6 778 ;  5 309 ;  2 355 ;  1 468 ;  1 227 ;  3 332 ;47;36,8;44,4;21,7;41,6
Ensino médio completo ou superior incompleto;  30 390 ;  20 661 ;  17 258 ;  10 572 ;  3 403 ;  1 703 ;  6 614 ;68;56,8;61,3;16,5;29,6
Ensino superior completo;  14 122 ;  11 340 ;  10 541 ;  8 230 ;799;275;  1 702 ;80,3;74,6;78,1;7;14,7
Total Branca;  71 611 ;  46 413 ;  42 079 ;  27 655 ;  4 333 ;  2 366 ;  9 013 ;64,8;58,8;65,7;9,3;18,5
Sem instrução ou fundamental incompleto;  19 897 ;  8 438 ;  7 710 ;  3 522 ;728;783;  2 073 ;42,4;38,8;45,7;8,6;22,5
Ensino fundamental completo ou médio incompleto;  11 241 ;  6 407 ;  5 519 ;  3 048 ;889;542;  1 803 ;57;49,1;55,2;13,9;26
Ensino médio completo ou superior incompleto;  25 294 ;  18 976 ;  16 911 ;  11 591 ;  2 065 ;805;  3 726 ;75;66,9;68,5;10,9;18,8
Ensino superior completo;  15 179 ;  12 591 ;  11 939 ;  9 494 ;652;235;  1 411 ;83;78,7;79,5;5,2;11
Total Preta ou parda;  94 891 ;  60 081 ;  51 803 ;  27 371 ;  8 278 ;  5 825 ;  18 934 ;63,3;54,6;52,8;13,8;28,7
Sem instrução ou fundamental incompleto;  36 713 ;  17 304 ;  15 190 ;  5 112 ;  2 113 ;  2 565 ;  6 592 ;47,1;41,4;33,7;12,2;33,2
Ensino fundamental completo ou médio incompleto;  17 748 ;  10 676 ;  8 711 ;  3 910 ;  1 965 ;  1 431 ;  4 326 ;60,2;49,1;44,9;18,4;35,7
Ensino médio completo ou superior incompleto;  31 850 ;  24 725 ;  21 074 ;  13 132 ;  3 650 ;  1 663 ;  6 899 ;77,6;66,2;62,3;14,8;26,1
Ensino superior completo;  8 580 ;  7 376 ;  6 828 ;  5 216 ;549;166;  1 118 ;86;79,6;76,4;7,4;14,8
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2019 (acumulado de primeiras visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
