Características selecionadas;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
60 anos ou mais;  13 276 ;  4 137 ;  3 914 ;  1 826 ;224;424;803;31,2;29,5;46,6;5,4;17,6
Total Mulheres;  87 854 ;  43 307 ;  36 181 ;  22 243 ;  7 125 ;  6 878 ;  17 209 ;49,3;41,2;61,5;16,5;34,3
14 a 29 anos;  26 183 ;  12 859 ;  9 163 ;  5 292 ;  3 696 ;  2 987 ;  7 657 ;49,1;35;57,8;28,7;48,3
14 a 17 anos;  6 095 ;700;351;67;349;596;997;11,5;5,8;19;49,9;76,9
18 a 24 anos;  11 612 ;  6 493 ;  4 234 ;  2 303 ;  2 259 ;  1 587 ;  4 354 ;55,9;36,5;54,4;34,8;53,9
25 a 29 anos;  8 475 ;  5 667 ;  4 578 ;  2 923 ;  1 088 ;805;  2 307 ;66,9;54;63,8;19,2;35,6
30 a 49 anos;  32 355 ;  22 019 ;  19 262 ;  12 568 ;  2 757 ;  2 738 ;  7 145 ;68,1;59,5;65,2;12,5;28,9
50 a 59 anos;  12 489 ;  6 304 ;  5 735 ;  3 493 ;568;805;  1 844 ;50,5;45,9;60,9;9;25,9
60 anos ou mais;  16 827 ;  2 125 ;  2 021 ;890;104;348;563;12,6;12;44;4,9;22,8
Total Branca;  73 112 ;  44 445 ;  39 493 ;  26 952 ;  4 952 ;  3 538 ;  10 612 ;60,8;54;68,2;11,1;22,1
14 a 29 anos;  20 541 ;  12 276 ;  9 699 ;  6 123 ;  2 577 ;  1 534 ;  4 786 ;59,8;47,2;63,1;21;34,7
14 a 17 anos;  4 670 ;701;414;92;287;372;701;15;8,9;22,4;41;65,3
18 a 24 anos;  9 032 ;  6 017 ;  4 474 ;  2 757 ;  1 543 ;779;  2 660 ;66,6;49,5;61,6;25,6;39,1
25 a 29 anos;  6 838 ;  5 558 ;  4 811 ;  3 274 ;747;383;  1 426 ;81,3;70,4;68;13,4;24
30 a 49 anos;  26 552 ;  21 766 ;  20 042 ;  14 671 ;  1 724 ;  1 176 ;  3 891 ;82;75,5;73,2;7,9;17
50 a 59 anos;  10 942 ;  7 169 ;  6 675 ;  4 605 ;494;493;  1 326 ;65,5;61;69;6,9;17,3
60 anos ou mais;  15 077 ;  3 233 ;  3 077 ;  1 554 ;156;334;608;21,4;20,4;50,5;4,8;17
Total Preta ou parda;  95 288 ;  55 086 ;  46 344 ;  25 607 ;  8 742 ;  8 150 ;  20 837 ;57,8;48,6;55,3;15,9;33
14 a 29 anos;  31 913 ;  17 287 ;  12 749 ;  6 553 ;  4 538 ;  3 909 ;  9 755 ;54,2;39,9;51,4;26,3;46
14 a 17 anos;  7 670 ;  1 051 ;594;61;457;880;  1 441 ;13,7;7,7;10,3;43,5;74,6
18 a 24 anos;  14 298 ;  8 912 ;  6 147 ;  2 989 ;  2 765 ;  2 105 ;  5 564 ;62,3;43;48,6;31;50,5
25 a 29 anos;  9 945 ;  7 324 ;  6 007 ;  3 503 ;  1 317 ;924;  2 751 ;73,6;60,4;58,3;18;33,3
30 a 49 anos;  36 129 ;  27 245 ;  23 960 ;  14 124 ;  3 286 ;  2 934 ;  8 189 ;75,4;66,3;58,9;12,1;27,1
50 a 59 anos;  12 623 ;  7 620 ;  6 865 ;  3 815 ;756;878;  2 155 ;60,4;54,4;55,6;9,9;25,4
60 anos ou mais;  14 624 ;  2 934 ;  2 772 ;  1 114 ;162;429;738;20,1;19;40,2;5,5;21,9
Total Nível de instrução;  170 091 ;  100 496 ;  86 673 ;  53 074 ;  13 823 ;  11 782 ;  31 723 ;59,1;51;61,2;13,8;28,3
Sem instrução ou fundamental incompleto;  54 179 ;  21 538 ;  18 710 ;  7 428 ;  2 828 ;  3 787 ;  8 543 ;39,8;34,5;39,7;13,1;33,7
Ensino fundamental completo ou médio incompleto;  28 641 ;  14 746 ;  11 934 ;  6 012 ;  2 812 ;  2 573 ;  6 416 ;51,5;41,7;50,4;19,1;37
Ensino médio completo ou superior incompleto;  61 141 ;  43 274 ;  36 480 ;  24 220 ;  6 793 ;  4 465 ;  13 514 ;70,8;59,7;66,4;15,7;28,3
Ensino superior completo;  26 130 ;  20 939 ;  19 550 ;  15 415 ;  1 389 ;957;  3 249 ;80,1;74,8;78,8;6,6;14,8
Total Homens;  82 238 ;  57 190 ;  50 492 ;  30 831 ;  6 698 ;  4 904 ;  14 514 ;69,5;61,4;61,1;11,7;23,4
Sem instrução ou fundamental incompleto;  27 670 ;  14 708 ;  13 027 ;  5 368 ;  1 681 ;  1 891 ;  4 709 ;53,2;47,1;41,2;11,4;28,4
Ensino fundamental completo ou médio incompleto;  14 484 ;  9 280 ;  7 806 ;  4 093 ;  1 474 ;  1 078 ;  3 080 ;64,1;53,9;52,4;15,9;29,7
Ensino médio completo ou superior incompleto;  29 152 ;  23 769 ;  20 782 ;  14 352 ;  2 987 ;  1 663 ;  5 584 ;81,5;71,3;69,1;12,6;22
Ensino superior completo;  10 932 ;  9 432 ;  8 877 ;  7 017 ;556;273;  1 141 ;86,3;81,2;79;5,9;11,8
Total Mulheres;  87 854 ;  43 307 ;  36 181 ;  22 243 ;  7 125 ;  6 878 ;  17 209 ;49,3;41,2;61,5;16,5;34,3
Sem instrução ou fundamental incompleto;  26 510 ;  6 830 ;  5 683 ;  2 060 ;  1 147 ;  1 896 ;  3 834 ;25,8;21,4;36,2;16,8;43,9
Ensino fundamental completo ou médio incompleto;  14 157 ;  5 466 ;  4 127 ;  1 919 ;  1 339 ;  1 496 ;  3 336 ;38,6;29,2;46,5;24,5;47,9
Ensino médio completo ou superior incompleto;  31 990 ;  19 505 ;  15 698 ;  9 867 ;  3 806 ;  2 803 ;  7 931 ;61;49,1;62,9;19,5;35,6
Ensino superior completo;  15 198 ;  11 506 ;  10 673 ;  8 398 ;833;684;  2 109 ;75,7;70,2;78,7;7,2;17,3
Total Branca;  73 112 ;  44 445 ;  39 493 ;  26 952 ;  4 952 ;  3 538 ;  10 612 ;60,8;54;68,2;11,1;22,1
Sem instrução ou fundamental incompleto;  19 112 ;  7 066 ;  6 317 ;  3 029 ;749;901;  2 130 ;37;33,1;47,9;10,6;26,7
Ensino fundamental completo ou médio incompleto;  11 097 ;  5 670 ;  4 723 ;  2 674 ;946;721;  1 998 ;51,1;42,6;56,6;16,7;31,3
Ensino médio completo ou superior incompleto;  26 490 ;  18 621 ;  16 122 ;  11 304 ;  2 499 ;  1 397 ;  4 701 ;70,3;60,9;70,1;13,4;23,5
Ensino superior completo;  16 413 ;  13 088 ;  12 331 ;  9 945 ;758;519;  1 783 ;79,7;75,1;80,7;5,8;13,1
Total Preta ou parda;  95 288 ;  55 086 ;  46 344 ;  25 607 ;  8 742 ;  8 150 ;  20 837 ;57,8;48,6;55,3;15,9;33
Sem instrução ou fundamental incompleto;  34 649 ;  14 330 ;  12 271 ;  4 355 ;  2 059 ;  2 862 ;  6 355 ;41,4;35,4;35,5;14,4;37
Ensino fundamental completo ou médio incompleto;  17 288 ;  8 958 ;  7 119 ;  3 294 ;  1 840 ;  1 832 ;  4 367 ;51,8;41,2;46,3;20,5;40,5
Ensino médio completo ou superior incompleto;  34 083 ;  24 276 ;  20 039 ;  12 734 ;  4 238 ;  3 040 ;  8 707 ;71,2;58,8;63,5;17,5;31,9
Ensino superior completo;  9 268 ;  7 521 ;  6 915 ;  5 224 ;606;416;  1 407 ;81,1;74,6;75,5;8,1;17,7
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2020 (acumulado de quintas visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
