Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Ceará;  7 533 ;  3 899 ;  3 531 ;  1 508 ;   368 ;   512 ;  1 208 ;   51,8 ;   46,9 ;   42,7 ;   9,4 ;   27,4 
Fortaleza;  2 254 ;  1 379 ;  1 253 ;   696 ;   126 ;   89 ;   290 ;   61,2 ;   55,6 ;   55,6 ;   9,1 ;   19,8 
Rio Grande do Norte;  2 930 ;  1 564 ;  1 377 ;   784 ;   186 ;   224 ;   536 ;   53,4 ;   47,0 ;   56,9 ;   11,9 ;   30,0 
Natal;   756 ;   454 ;   412 ;   264 ;   41 ;   31 ;   89 ;   60,0 ;   54,6 ;   64,0 ;   9,1 ;   18,5 
Paraíba;  3 209 ;  1 652 ;  1 447 ;   618 ;   205 ;   238 ;   589 ;   51,5 ;   45,1 ;   42,7 ;   12,4 ;   31,2 
João Pessoa;   659 ;   402 ;   336 ;   191 ;   66 ;   22 ;   110 ;   61,0 ;   51,0 ;   56,8 ;   16,3 ;   26,0 
Pernambuco;  7 707 ;  4 273 ;  3 594 ;  1 614 ;   679 ;   473 ;  1 527 ;   55,4 ;   46,6 ;   44,9 ;   15,9 ;   32,2 
Recife;  1 365 ;   897 ;   759 ;   436 ;   138 ;   71 ;   282 ;   65,7 ;   55,6 ;   57,4 ;   15,4 ;   29,1 
Alagoas;  2 607 ;  1 327 ;  1 168 ;   560 ;   159 ;   302 ;   573 ;   50,9 ;   44,8 ;   47,9 ;   12,0 ;   35,2 
Maceió;   818 ;   514 ;   447 ;   264 ;   67 ;   41 ;   135 ;   62,8 ;   54,6 ;   59,1 ;   13,0 ;   24,4 
Sergipe;  1 905 ;  1 123 ;   977 ;   437 ;   147 ;   173 ;   469 ;   59,0 ;   51,3 ;   44,7 ;   13,1 ;   36,1 
Aracaju;   568 ;   373 ;   322 ;   193 ;   52 ;   33 ;   110 ;   65,7 ;   56,6 ;   59,9 ;   13,8 ;   27,0 
Bahia;  12 116 ;  7 089 ;  6 022 ;  2 557 ;  1 067 ;   876 ;  2 716 ;   58,5 ;   49,7 ;   42,5 ;   15,1 ;   34,1 
Salvador;  2 456 ;  1 607 ;  1 344 ;   824 ;   263 ;   121 ;   476 ;   65,4 ;   54,7 ;   61,3 ;   16,4 ;   27,5 
Sudeste;  74 471 ;  48 143 ;  43 571 ;  28 574 ;  4 572 ;  2 160 ;  8 948 ;   64,6 ;   58,5 ;   65,6 ;   9,5 ;   17,8 
Minas Gerais;  17 558 ;  11 235 ;  10 370 ;  6 354 ;   866 ;   691 ;  2 132 ;   64,0 ;   59,1 ;   61,3 ;   7,7 ;   17,9 
Belo Horizonte;  2 137 ;  1 466 ;  1 305 ;   906 ;   161 ;   75 ;   322 ;   68,6 ;   61,1 ;   69,4 ;   11,0 ;   20,9 
Espírito Santo;  3 362 ;  2 170 ;  1 985 ;  1 207 ;   185 ;   86 ;   350 ;   64,6 ;   59,1 ;   60,8 ;   8,5 ;   15,5 
Vitória;   320 ;   204 ;   185 ;   133 ;   19 ;   11 ;   38 ;   63,7 ;   57,8 ;   71,9 ;   9,1 ;   17,5 
Rio de Janeiro;  14 813 ;  8 896 ;  7 716 ;  4 844 ;  1 181 ;   336 ;  1 886 ;   60,1 ;   52,1 ;   62,8 ;   13,3 ;   20,4 
Rio de Janeiro;  5 826 ;  3 595 ;  3 226 ;  2 172 ;   369 ;   114 ;   594 ;   61,7 ;   55,4 ;   67,3 ;   10,3 ;   16,0 
São Paulo;  38 739 ;  25 841 ;  23 500 ;  16 169 ;  2 341 ;  1 047 ;  4 580 ;   66,7 ;   60,7 ;   68,8 ;   9,1 ;   17,0 
São Paulo;  10 399 ;  7 003 ;  6 342 ;  4 288 ;   661 ;   264 ;  1 185 ;   67,3 ;   61,0 ;   67,6 ;   9,4 ;   16,3 
Sul;  24 897 ;  16 265 ;  15 351 ;  11 096 ;   915 ;   522 ;  1 965 ;   65,3 ;   61,7 ;   72,3 ;   5,6 ;   11,7 
Paraná;  9 428 ;  6 129 ;  5 761 ;  4 045 ;   368 ;   225 ;   810 ;   65,0 ;   61,1 ;   70,2 ;   6,0 ;   12,7 
Curitiba;  1 665 ;  1 107 ;  1 021 ;   770 ;   86 ;   24 ;   148 ;   66,5 ;   61,3 ;   75,5 ;   7,8 ;   13,1 
Santa Catarina;  5 940 ;  3 988 ;  3 835 ;  2 916 ;   153 ;   63 ;   277 ;   67,1 ;   64,6 ;   76,0 ;   3,8 ;   6,8 
Florianópolis;   444 ;   292 ;   271 ;   188 ;   21 ;   5 ;   32 ;   65,8 ;   61,0 ;   69,4 ;   7,2 ;   10,8 
Rio Grande do Sul;  9 529 ;  6 147 ;  5 754 ;  4 135 ;   393 ;   234 ;   878 ;   64,5 ;   60,4 ;   71,9 ;   6,4 ;   13,8 
Porto Alegre;  1 286 ;   845 ;   783 ;   568 ;   62 ;   32 ;   132 ;   65,7 ;   60,9 ;   72,6 ;   7,3 ;   15,1 
Centro-Oeste;  13 321 ;  8 899 ;  8 253 ;  5 059 ;   645 ;   367 ;  1 350 ;   66,8 ;   62,0 ;   61,3 ;   7,3 ;   14,6 
Mato Grosso do Sul;  2 169 ;  1 422 ;  1 352 ;   845 ;   70 ;   55 ;   174 ;   65,5 ;   62,3 ;   62,5 ;   4,9 ;   11,8 
Campo Grande;   737 ;   482 ;   452 ;   289 ;   30 ;   11 ;   54 ;   65,5 ;   61,4 ;   63,9 ;   6,2 ;   10,9 
Mato Grosso;  2 747 ;  1 786 ;  1 714 ;  1 060 ;   72 ;   75 ;   197 ;   65,0 ;   62,4 ;   61,9 ;   4,0 ;   10,6 
Cuiabá;   509 ;   331 ;   316 ;   189 ;   15 ;   17 ;   48 ;   65,1 ;   62,1 ;   59,9 ;   4,5 ;   13,8 
Goiás;  5 871 ;  3 922 ;  3 619 ;  2 099 ;   303 ;   154 ;   590 ;   66,8 ;   61,6 ;   58,0 ;   7,7 ;   14,5 
Goiânia;  1 319 ;   857 ;   803 ;   519 ;   54 ;   25 ;   109 ;   65,0 ;   60,9 ;   64,6 ;   6,3 ;   12,3 
Distrito Federal;  2 534 ;  1 769 ;  1 569 ;  1 054 ;   200 ;   84 ;   390 ;   69,8 ;   61,9 ;   67,2 ;   11,3 ;   21,0 
Brasília;  2 534 ;  1 769 ;  1 569 ;  1 054 ;   200 ;   84 ;   390 ;   69,8 ;   61,9 ;   67,2 ;   11,3 ;   21,0 
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2022 (acumulado de quintas visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
