Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Recife;  1 382 ;   874 ;   745 ;   452 ;   129 ;   65 ;   253 ;   63,3 ;   53,9 ;   60,7 ;   14,7 ;   26,9 
Alagoas;  2 603 ;  1 217 ;  1 041 ;   507 ;   176 ;   272 ;   529 ;   46,8 ;   40,0 ;   48,7 ;   14,5 ;   35,5 
Maceió;   838 ;   453 ;   394 ;   237 ;   59 ;   24 ;   94 ;   54,1 ;   47,1 ;   60,1 ;   13,0 ;   19,8 
Sergipe;  1 800 ;  1 109 ;   937 ;   412 ;   172 ;   134 ;   473 ;   61,6 ;   52,0 ;   44,0 ;   15,5 ;   38,1 
Aracaju;   527 ;   341 ;   288 ;   182 ;   52 ;   10 ;   83 ;   64,6 ;   54,7 ;   63,0 ;   15,4 ;   23,5 
Bahia;  11 815 ;  7 113 ;  5 954 ;  2 591 ;  1 159 ;  1 085 ;  3 184 ;   60,2 ;   50,4 ;   43,5 ;   16,3 ;   38,8 
Salvador;  2 440 ;  1 753 ;  1 479 ;   854 ;   274 ;   110 ;   582 ;   71,8 ;   60,6 ;   57,7 ;   15,6 ;   31,3 
Sudeste;  72 395 ;  48 810 ;  42 826 ;  27 946 ;  5 985 ;  2 302 ;  10 830 ;   67,4 ;   59,2 ;   65,3 ;   12,3 ;   21,2 
Minas Gerais;  17 266 ;  11 448 ;  10 270 ;  6 196 ;  1 178 ;   827 ;  2 836 ;   66,3 ;   59,5 ;   60,3 ;   10,3 ;   23,1 
Belo Horizonte;  2 113 ;  1 486 ;  1 304 ;   903 ;   182 ;   104 ;   390 ;   70,3 ;   61,7 ;   69,3 ;   12,2 ;   24,6 
Espírito Santo;  3 212 ;  2 188 ;  1 963 ;  1 115 ;   225 ;   95 ;   430 ;   68,1 ;   61,1 ;   56,8 ;   10,3 ;   18,8 
Vitória;   308 ;   210 ;   188 ;   123 ;   22 ;   13 ;   47 ;   68,2 ;   60,9 ;   65,7 ;   10,6 ;   21,2 
Rio de Janeiro;  14 456 ;  9 031 ;  7 699 ;  4 893 ;  1 332 ;   254 ;  1 949 ;   62,5 ;   53,3 ;   63,6 ;   14,7 ;   21,0 
Rio de Janeiro;  5 729 ;  3 656 ;  3 201 ;  2 134 ;   455 ;   100 ;   678 ;   63,8 ;   55,9 ;   66,6 ;   12,4 ;   18,0 
São Paulo;  37 461 ;  26 144 ;  22 894 ;  15 741 ;  3 250 ;  1 125 ;  5 615 ;   69,8 ;   61,1 ;   68,8 ;   12,4 ;   20,6 
São Paulo;  10 166 ;  7 310 ;  6 336 ;  4 216 ;   974 ;   327 ;  1 661 ;   71,9 ;   62,3 ;   66,5 ;   13,3 ;   21,8 
Sul;  24 409 ;  16 424 ;  15 173 ;  10 804 ;  1 251 ;   576 ;  2 546 ;   67,3 ;   62,2 ;   71,2 ;   7,6 ;   15,0 
Paraná;  9 181 ;  6 160 ;  5 650 ;  3 883 ;   509 ;   270 ;  1 091 ;   67,1 ;   61,5 ;   68,7 ;   8,3 ;   17,0 
Curitiba;  1 608 ;  1 129 ;  1 033 ;   715 ;   96 ;   33 ;   181 ;   70,2 ;   64,3 ;   69,2 ;   8,5 ;   15,6 
Santa Catarina;  5 833 ;  3 984 ;  3 734 ;  2 876 ;   250 ;   87 ;   443 ;   68,3 ;   64,0 ;   77,0 ;   6,3 ;   10,9 
Florianópolis;   425 ;   302 ;   274 ;   201 ;   28 ;   12 ;   56 ;   71,0 ;   64,5 ;   73,4 ;   9,1 ;   17,8 
Rio Grande do Sul;  9 396 ;  6 280 ;  5 788 ;  4 045 ;   492 ;   219 ;  1 011 ;   66,8 ;   61,6 ;   69,9 ;   7,8 ;   15,6 
Porto Alegre;  1 248 ;   828 ;   757 ;   523 ;   71 ;   20 ;   132 ;   66,4 ;   60,7 ;   69,1 ;   8,6 ;   15,5 
Centro-Oeste;  12 878 ;  8 790 ;  7 892 ;  4 699 ;   899 ;   446 ;  1 719 ;   68,3 ;   61,3 ;   59,5 ;   10,2 ;   18,6 
Mato Grosso do Sul;  2 113 ;  1 460 ;  1 345 ;   778 ;   116 ;   88 ;   276 ;   69,1 ;   63,6 ;   57,8 ;   7,9 ;   17,8 
Campo Grande;   707 ;   495 ;   460 ;   268 ;   35 ;   15 ;   75 ;   69,9 ;   65,0 ;   58,3 ;   7,1 ;   14,7 
Mato Grosso;  2 649 ;  1 845 ;  1 694 ;  1 006 ;   151 ;   85 ;   309 ;   69,6 ;   63,9 ;   59,4 ;   8,2 ;   16,0 
Cuiabá;   480 ;   340 ;   307 ;   184 ;   34 ;   10 ;   56 ;   70,9 ;   63,9 ;   59,9 ;   9,9 ;   16,1 
Goiás;  5 643 ;  3 817 ;  3 409 ;  1 933 ;   408 ;   179 ;   731 ;   67,6 ;   60,4 ;   56,7 ;   10,7 ;   18,3 
Goiânia;  1 237 ;   825 ;   765 ;   467 ;   60 ;   27 ;   110 ;   66,7 ;   61,8 ;   61,0 ;   7,3 ;   12,9 
Distrito Federal;  2 472 ;  1 668 ;  1 444 ;   982 ;   224 ;   95 ;   402 ;   67,5 ;   58,4 ;   68,0 ;   13,4 ;   22,8 
Brasília;  2 472 ;  1 668 ;  1 444 ;   982 ;   224 ;   95 ;   402 ;   67,5 ;   58,4 ;   68,0 ;   13,4 ;   22,8 
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2019 (acumulado de primeiras visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
