Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Salvador;  2 452 ;  1 610 ;  1 389 ;   801 ;   221 ;   95 ;   416 ;   65,7 ;   56,7 ;   57,6 ;   13,7 ;   24,4 
Sudeste;  75 081 ;  49 138 ;  45 466 ;  29 678 ;  3 672 ;  2 009 ;  7 592 ;   65,4 ;   60,6 ;   65,3 ;   7,5 ;   14,8 
Minas Gerais;  17 705 ;  11 483 ;  10 818 ;  6 692 ;   665 ;   578 ;  1 688 ;   64,9 ;   61,1 ;   61,9 ;   5,8 ;   14,0 
Belo Horizonte;  2 149 ;  1 487 ;  1 363 ;   956 ;   124 ;   56 ;   237 ;   69,2 ;   63,4 ;   70,2 ;   8,3 ;   15,4 
Espírito Santo;  3 377 ;  2 158 ;  2 036 ;  1 222 ;   122 ;   81 ;   266 ;   63,9 ;   60,3 ;   60,0 ;   5,7 ;   11,9 
Vitória;   329 ;   208 ;   194 ;   135 ;   14 ;   5 ;   24 ;   63,2 ;   58,9 ;   69,6 ;   6,7 ;   11,2 
Rio de Janeiro;  14 725 ;  9 063 ;  8 149 ;  5 142 ;   914 ;   318 ;  1 602 ;   61,5 ;   55,3 ;   63,1 ;   10,1 ;   17,1 
Rio de Janeiro;  5 812 ;  3 691 ;  3 364 ;  2 286 ;   327 ;   110 ;   558 ;   63,5 ;   57,9 ;   68,0 ;   8,9 ;   14,7 
São Paulo;  39 274 ;  26 434 ;  24 463 ;  16 622 ;  1 971 ;  1 032 ;  4 035 ;   67,3 ;   62,3 ;   67,9 ;   7,5 ;   14,7 
São Paulo;  10 511 ;  7 242 ;  6 622 ;  4 400 ;   620 ;   224 ;  1 177 ;   68,9 ;   63,0 ;   66,5 ;   8,6 ;   15,8 
Sul;  25 172 ;  16 679 ;  15 897 ;  11 467 ;   782 ;   477 ;  1 733 ;   66,3 ;   63,2 ;   72,1 ;   4,7 ;   10,1 
Paraná;  9 590 ;  6 280 ;  5 980 ;  4 209 ;   301 ;   220 ;   705 ;   65,5 ;   62,4 ;   70,4 ;   4,8 ;   10,8 
Curitiba;  1 689 ;  1 147 ;  1 086 ;   791 ;   61 ;   33 ;   134 ;   67,9 ;   64,3 ;   72,8 ;   5,3 ;   11,3 
Santa Catarina;  6 112 ;  4 173 ;  4 030 ;  3 107 ;   143 ;   54 ;   254 ;   68,3 ;   65,9 ;   77,1 ;   3,4 ;   6,0 
Florianópolis;   453 ;   315 ;   301 ;   212 ;   14 ;   8 ;   41 ;   69,5 ;   66,4 ;   70,4 ;   4,4 ;   12,7 
Rio Grande do Sul;  9 470 ;  6 226 ;  5 887 ;  4 151 ;   338 ;   204 ;   774 ;   65,7 ;   62,2 ;   70,5 ;   5,4 ;   12,0 
Porto Alegre;  1 276 ;   839 ;   789 ;   531 ;   50 ;   22 ;   110 ;   65,8 ;   61,8 ;   67,2 ;   6,0 ;   12,8 
Centro-Oeste;  13 648 ;  9 301 ;  8 747 ;  5 417 ;   554 ;   290 ;  1 121 ;   68,1 ;   64,1 ;   61,9 ;   6,0 ;   11,7 
Mato Grosso do Sul;  2 226 ;  1 500 ;  1 430 ;   875 ;   70 ;   42 ;   151 ;   67,4 ;   64,2 ;   61,2 ;   4,7 ;   9,8 
Campo Grande;   740 ;   499 ;   483 ;   310 ;   16 ;   12 ;   42 ;   67,5 ;   65,3 ;   64,1 ;   3,3 ;   8,2 
Mato Grosso;  2 829 ;  1 892 ;  1 830 ;  1 154 ;   63 ;   72 ;   177 ;   66,9 ;   64,7 ;   63,1 ;   3,3 ;   9,0 
Cuiabá;   512 ;   345 ;   324 ;   209 ;   20 ;   19 ;   47 ;   67,2 ;   63,3 ;   64,5 ;   5,9 ;   13,0 
Goiás;  5 987 ;  4 116 ;  3 876 ;  2 291 ;   240 ;   112 ;   492 ;   68,7 ;   64,7 ;   59,1 ;   5,8 ;   11,6 
Goiânia;  1 352 ;   929 ;   885 ;   598 ;   45 ;   19 ;   92 ;   68,8 ;   65,5 ;   67,6 ;   4,8 ;   9,7 
Distrito Federal;  2 606 ;  1 793 ;  1 611 ;  1 096 ;   182 ;   64 ;   300 ;   68,8 ;   61,8 ;   68,1 ;   10,1 ;   16,2 
Brasília;  2 606 ;  1 793 ;  1 611 ;  1 096 ;   182 ;   64 ;   300 ;   68,8 ;   61,8 ;   68,1 ;   10,1 ;   16,2 
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2023 (acumulado de primeiras visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
