Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Minas Gerais;  17 489 ;  10 829 ;  9 456 ;  5 945 ;  1 373 ;  1 157 ;  3 236 ;   61,9 ;   54,1 ;   62,9 ;   12,7 ;   27,0 
Belo Horizonte;  2 113 ;  1 387 ;  1 178 ;   832 ;   210 ;   135 ;   425 ;   65,7 ;   55,7 ;   70,6 ;   15,1 ;   27,9 
Espírito Santo;  3 264 ;  2 087 ;  1 818 ;  1 085 ;   268 ;   137 ;   495 ;   63,9 ;   55,7 ;   59,7 ;   12,9 ;   22,3 
Vitória;   314 ;   199 ;   173 ;   123 ;   26 ;   17 ;   53 ;   63,4 ;   55,2 ;   70,9 ;   12,9 ;   24,6 
Rio de Janeiro;  14 559 ;  8 302 ;  6 831 ;  4 512 ;  1 470 ;   622 ;  2 399 ;   57,0 ;   46,9 ;   66,0 ;   17,7 ;   26,9 
Rio de Janeiro;  5 734 ;  3 326 ;  2 802 ;  1 964 ;   524 ;   247 ;   881 ;   58,0 ;   48,9 ;   70,1 ;   15,7 ;   24,7 
São Paulo;  37 694 ;  24 355 ;  20 944 ;  14 689 ;  3 411 ;  1 702 ;  6 208 ;   64,6 ;   55,6 ;   70,1 ;   14,0 ;   23,8 
São Paulo;  10 172 ;  6 647 ;  5 596 ;  3 925 ;  1 051 ;   539 ;  1 859 ;   65,3 ;   55,0 ;   70,1 ;   15,8 ;   25,9 
Sul;  24 638 ;  15 596 ;  14 228 ;  10 511 ;  1 368 ;   867 ;  2 876 ;   63,3 ;   57,7 ;   73,9 ;   8,8 ;   17,5 
Paraná;  9 289 ;  5 896 ;  5 323 ;  3 795 ;   573 ;   380 ;  1 225 ;   63,5 ;   57,3 ;   71,3 ;   9,7 ;   19,5 
Curitiba;  1 629 ;  1 065 ;   929 ;   699 ;   136 ;   49 ;   233 ;   65,4 ;   57,1 ;   75,3 ;   12,8 ;   20,9 
Santa Catarina;  5 942 ;  3 848 ;  3 600 ;  2 859 ;   248 ;   131 ;   460 ;   64,8 ;   60,6 ;   79,4 ;   6,4 ;   11,6 
Florianópolis;   425 ;   271 ;   247 ;   187 ;   25 ;   26 ;   66 ;   63,8 ;   58,0 ;   75,9 ;   9,1 ;   22,1 
Rio Grande do Sul;  9 407 ;  5 852 ;  5 304 ;  3 858 ;   547 ;   356 ;  1 191 ;   62,2 ;   56,4 ;   72,7 ;   9,4 ;   19,2 
Porto Alegre;  1 244 ;   755 ;   664 ;   495 ;   92 ;   50 ;   187 ;   60,7 ;   53,3 ;   74,6 ;   12,1 ;   23,2 
Centro-Oeste;  13 051 ;  8 284 ;  7 299 ;  4 516 ;   986 ;   585 ;  1 887 ;   63,5 ;   55,9 ;   61,9 ;   11,9 ;   21,3 
Mato Grosso do Sul;  2 148 ;  1 364 ;  1 235 ;   758 ;   129 ;   104 ;   294 ;   63,5 ;   57,5 ;   61,4 ;   9,5 ;   20,0 
Campo Grande;   722 ;   465 ;   417 ;   255 ;   48 ;   26 ;   99 ;   64,4 ;   57,7 ;   61,2 ;   10,3 ;   20,2 
Mato Grosso;  2 699 ;  1 781 ;  1 612 ;   968 ;   169 ;   90 ;   313 ;   66,0 ;   59,7 ;   60,1 ;   9,5 ;   16,7 
Cuiabá;   488 ;   330 ;   282 ;   166 ;   48 ;   15 ;   75 ;   67,6 ;   57,7 ;   58,8 ;   14,7 ;   21,6 
Goiás;  5 698 ;  3 577 ;  3 110 ;  1 859 ;   467 ;   293 ;   898 ;   62,8 ;   54,6 ;   59,8 ;   13,1 ;   23,2 
Goiânia;  1 254 ;   764 ;   683 ;   422 ;   81 ;   58 ;   165 ;   60,9 ;   54,4 ;   61,9 ;   10,6 ;   20,1 
Distrito Federal;  2 506 ;  1 563 ;  1 342 ;   930 ;   220 ;   98 ;   382 ;   62,4 ;   53,6 ;   69,3 ;   14,1 ;   23,0 
Brasília;  2 506 ;  1 563 ;  1 342 ;   930 ;   220 ;   98 ;   382 ;   62,4 ;   53,6 ;   69,3 ;   14,1 ;   23,0 
;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2020 (acumulado de quintas visitas).;;;;;;;;;;;;
Notas: Não são apresentados resultados para amarelos, indígenas e pessoas sem declaração de cor ou raça.;;;;;;;;;;;;
(1) Inclui empregado com carteira de trabalho assinada, trabalhador doméstico com carteira de trabalho assinada, militar, funcionário público estatutário, conta própria e empregador que contribuíam para a previdência social.;;;;;;;;;;;;
